Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
126,50,0.396825397,0,3,3,1,6
123,20,0.162601626,0,3,3,1,6
124,16,0.129032258,0,3,3,1,6
127,26,0.204724409,0,3,3,1,6
122,29,0.237704918,0,3,3,1,6
128,45,0.3515625,0,3,3,1,6
128,21,0.1640625,0,3,3,1,6
128,45,0.3515625,0,3,3,1,6
125,17,0.136,0,3,3,1,6
121,41,0.338842975,0,3,3,1,6
121,26,0.214876033,0,3,3,1,6
129,41,0.317829457,0,3,3,1,6
125,18,0.144,0,3,3,1,6
124,40,0.322580645,0,3,3,1,6
124,0,0,0,3,3,1,6
126,21,0.166666667,0,3,3,1,6
125,25,0.2,0,3,3,1,6
125,24,0.192,0,3,3,1,6
124,16,0.129032258,0,3,3,1,6
125,35,0.28,0,3,3,1,6
124,22,0.177419355,0,3,3,1,6
127,25,0.196850394,0,3,3,1,6
129,34,0.263565891,0,3,3,1,6
121,27,0.223140496,0,3,3,1,6
119,42,0.352941176,0,3,3,1,6
115,22,0.191304348,0,3,3,1,6
121,27,0.223140496,0,3,3,1,6
131,21,0.160305344,0,3,3,1,6
126,7,0.055555556,0,3,3,1,6
129,31,0.240310078,0,3,3,1,6
129,35,0.271317829,0,3,3,1,6
132,29,0.21969697,0,3,3,1,6
126,13,0.103174603,0,3,3,1,6
132,26,0.196969697,0,3,3,1,6
121,20,0.165289256,0,3,3,1,6
123,16,0.130081301,0,3,3,1,6
121,44,0.363636364,0,3,3,1,6
124,20,0.161290323,0,3,3,1,6
126,12,0.095238095,0,3,3,1,6
124,25,0.201612903,0,3,3,1,6
123,15,0.12195122,0,3,3,1,6
130,6,0.046153846,0,3,3,1,6
118,31,0.262711864,0,3,3,1,6
124,33,0.266129032,0,3,3,1,6
127,31,0.244094488,0,3,3,1,6
116,8,0.068965517,0,3,3,1,6
115,27,0.234782609,0,3,3,1,6
128,29,0.2265625,0,3,3,1,6
126,44,0.349206349,0,3,3,1,6
128,20,0.15625,0,3,3,1,6
129,30,0.23255814,0,3,3,1,6
125,49,0.392,0,3,3,1,6
121,37,0.305785124,0,3,3,1,6
127,27,0.212598425,0,3,3,1,6
125,40,0.32,0,3,3,1,6
129,15,0.11627907,0,3,3,1,6
128,21,0.1640625,0,3,3,1,6
126,45,0.357142857,0,3,3,1,6
122,26,0.213114754,0,3,3,1,6
125,37,0.296,0,3,3,1,6
128,35,0.2734375,0,3,3,1,6
119,47,0.394957983,0,3,3,1,6
125,31,0.248,0,3,3,1,6
125,35,0.28,0,3,3,1,6
127,44,0.346456693,0,3,3,1,6
120,15,0.125,0,3,3,1,6
128,11,0.0859375,0,3,3,1,6
128,3,0.0234375,0,3,3,1,6
125,15,0.12,0,3,3,1,6
122,19,0.155737705,0,3,3,1,6
121,13,0.107438017,0,3,3,1,6
125,33,0.264,0,3,3,1,6
123,37,0.300813008,0,3,3,1,6
127,19,0.149606299,0,3,3,1,6
125,22,0.176,0,3,3,1,6
129,25,0.19379845,0,3,3,1,6
120,34,0.283333333,0,3,3,1,6
128,24,0.1875,0,3,3,1,6
124,28,0.225806452,0,3,3,1,6
121,6,0.049586777,0,3,3,1,6
122,29,0.237704918,0,3,3,1,6
130,15,0.115384615,0,3,3,1,6
124,18,0.14516129,0,3,3,1,6
122,19,0.155737705,0,3,3,1,6
128,27,0.2109375,0,3,3,1,6
125,34,0.272,0,3,3,1,6
124,22,0.177419355,0,3,3,1,6
119,42,0.352941176,0,3,3,1,6
127,38,0.299212598,0,3,3,1,6
126,14,0.111111111,0,3,3,1,6
125,25,0.2,0,3,3,1,6
127,12,0.094488189,0,3,3,1,6
126,26,0.206349206,0,3,3,1,6
126,32,0.253968254,0,3,3,1,6
125,40,0.32,0,3,3,1,6
127,9,0.070866142,0,3,3,1,6
128,33,0.2578125,0,3,3,1,6
130,18,0.138461538,0,3,3,1,6
120,29,0.241666667,0,3,3,1,6
123,23,0.18699187,0,3,3,1,6
127,24,0.188976378,0,3,3,1,6
131,18,0.13740458,0,3,3,1,6
124,43,0.346774194,0,3,3,1,6
126,19,0.150793651,0,3,3,1,6
125,21,0.168,0,3,3,1,6
117,13,0.111111111,0,3,3,1,6
126,41,0.325396825,0,3,3,1,6
124,14,0.112903226,0,3,3,1,6
125,15,0.12,0,3,3,1,6
127,19,0.149606299,0,3,3,1,6
122,22,0.180327869,0,3,3,1,6
129,29,0.224806202,0,3,3,1,6
125,30,0.24,0,3,3,1,6
124,18,0.14516129,0,3,3,1,6
125,21,0.168,0,3,3,1,6
122,9,0.073770492,0,3,3,1,6
128,28,0.21875,0,3,3,1,6
120,17,0.141666667,0,3,3,1,6
121,22,0.181818182,0,3,3,1,6
122,29,0.237704918,0,3,3,1,6
120,21,0.175,0,3,3,1,6
128,38,0.296875,0,3,3,1,6
119,24,0.201680672,0,3,3,1,6
127,50,0.393700787,0,3,3,1,6
128,22,0.171875,0,3,3,1,6
120,28,0.233333333,0,3,3,1,6
121,18,0.148760331,0,3,3,1,6
127,59,0.464566929,0,3,3,1,6
124,23,0.185483871,0,3,3,1,6
125,19,0.152,0,3,3,1,6
128,17,0.1328125,0,3,3,1,6
124,23,0.185483871,0,3,3,1,6
125,24,0.192,0,3,3,1,6
127,48,0.377952756,0,3,3,1,6
119,26,0.218487395,0,3,3,1,6
122,56,0.459016393,0,3,3,1,6
124,24,0.193548387,0,3,3,1,6
124,23,0.185483871,0,3,3,1,6
126,31,0.246031746,0,3,3,1,6
124,20,0.161290323,0,3,3,1,6
125,22,0.176,0,3,3,1,6
125,26,0.208,0,3,3,1,6
126,22,0.174603175,0,3,3,1,6
126,43,0.341269841,0,3,3,1,6
127,25,0.196850394,0,3,3,1,6
123,17,0.138211382,0,3,3,1,6
119,14,0.117647059,0,3,3,1,6
123,25,0.203252033,0,3,3,1,6
118,6,0.050847458,0,3,3,1,6
124,37,0.298387097,0,3,3,1,6
122,20,0.163934426,0,3,3,1,6
126,22,0.174603175,0,3,3,1,6
121,30,0.247933884,0,3,3,1,6
130,18,0.138461538,0,3,3,1,6
123,12,0.097560976,0,3,3,1,6
128,16,0.125,0,3,3,1,6
124,27,0.217741935,0,3,3,1,6
122,21,0.172131148,0,3,3,1,6
130,49,0.376923077,0,3,3,1,6
124,20,0.161290323,0,3,3,1,6
127,29,0.228346457,0,3,3,1,6
125,21,0.168,0,3,3,1,6
129,27,0.209302326,0,3,3,1,6
118,17,0.144067797,0,3,3,1,6
120,14,0.116666667,0,3,3,1,6
121,21,0.173553719,0,3,3,1,6
124,21,0.169354839,0,3,3,1,6
125,3,0.024,0,3,3,1,6
121,33,0.272727273,0,3,3,1,6
130,20,0.153846154,0,3,3,1,6
125,33,0.264,0,3,3,1,6
130,14,0.107692308,0,3,3,1,6
123,10,0.081300813,0,3,3,1,6
124,13,0.10483871,0,3,3,1,6
124,16,0.129032258,0,3,3,1,6
123,18,0.146341463,0,3,3,1,6
126,32,0.253968254,0,3,3,1,6
124,45,0.362903226,0,3,3,1,6
127,27,0.212598425,0,3,3,1,6
124,19,0.153225806,0,3,3,1,6
122,26,0.213114754,0,3,3,1,6
127,19,0.149606299,0,3,3,1,6
125,18,0.144,0,3,3,1,6
123,21,0.170731707,0,3,3,1,6
123,38,0.308943089,0,3,3,1,6
123,16,0.130081301,0,3,3,1,6
122,30,0.245901639,0,3,3,1,6
127,17,0.133858268,0,3,3,1,6
124,1,0.008064516,0,3,3,1,6
118,27,0.228813559,0,3,3,1,6
121,15,0.123966942,0,3,3,1,6
126,5,0.03968254,0,3,3,1,6
123,44,0.357723577,0,3,3,1,6
128,40,0.3125,0,3,3,1,6
130,32,0.246153846,0,3,3,1,6
124,27,0.217741935,0,3,3,1,6
123,37,0.300813008,0,3,3,1,6
122,13,0.106557377,0,3,3,1,6
