Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
121,13,0.107438017,0,4,2,0,4
127,18,0.141732283,0,4,2,0,4
125,1,0.008,0,4,2,0,4
124,15,0.120967742,0,4,2,0,4
125,26,0.208,0,4,2,0,4
127,15,0.118110236,0,4,2,0,4
124,15,0.120967742,0,4,2,0,4
124,13,0.10483871,0,4,2,0,4
123,26,0.211382114,0,4,2,0,4
124,20,0.161290323,0,4,2,0,4
121,15,0.123966942,0,4,2,0,4
124,25,0.201612903,0,4,2,0,4
122,12,0.098360656,0,4,2,0,4
126,12,0.095238095,0,4,2,0,4
126,13,0.103174603,0,4,2,0,4
131,12,0.091603053,0,4,2,0,4
126,14,0.111111111,0,4,2,0,4
125,14,0.112,0,4,2,0,4
126,23,0.182539683,0,4,2,0,4
122,18,0.147540984,0,4,2,0,4
121,26,0.214876033,0,4,2,0,4
130,21,0.161538462,0,4,2,0,4
122,13,0.106557377,0,4,2,0,4
125,15,0.12,0,4,2,0,4
127,17,0.133858268,0,4,2,0,4
125,13,0.104,0,4,2,0,4
125,24,0.192,0,4,2,0,4
127,16,0.125984252,0,4,2,0,4
131,14,0.106870229,0,4,2,0,4
127,10,0.078740157,0,4,2,0,4
119,13,0.109243697,0,4,2,0,4
122,11,0.090163934,0,4,2,0,4
121,14,0.115702479,0,4,2,0,4
119,12,0.100840336,0,4,2,0,4
125,18,0.144,0,4,2,0,4
124,17,0.137096774,0,4,2,0,4
121,17,0.140495868,0,4,2,0,4
123,11,0.089430894,0,4,2,0,4
128,21,0.1640625,0,4,2,0,4
119,15,0.12605042,0,4,2,0,4
122,27,0.221311475,0,4,2,0,4
123,13,0.105691057,0,4,2,0,4
126,15,0.119047619,0,4,2,0,4
126,15,0.119047619,0,4,2,0,4
125,17,0.136,0,4,2,0,4
125,18,0.144,0,4,2,0,4
132,32,0.242424242,0,4,2,0,4
130,20,0.153846154,0,4,2,0,4
124,18,0.14516129,0,4,2,0,4
125,14,0.112,0,4,2,0,4
125,15,0.12,0,4,2,0,4
121,22,0.181818182,0,4,2,0,4
127,15,0.118110236,0,4,2,0,4
122,19,0.155737705,0,4,2,0,4
123,19,0.154471545,0,4,2,0,4
124,23,0.185483871,0,4,2,0,4
127,17,0.133858268,0,4,2,0,4
126,19,0.150793651,0,4,2,0,4
124,13,0.10483871,0,4,2,0,4
124,11,0.088709677,0,4,2,0,4
125,16,0.128,0,4,2,0,4
125,14,0.112,0,4,2,0,4
128,3,0.0234375,0,4,2,0,4
124,11,0.088709677,0,4,2,0,4
124,28,0.225806452,0,4,2,0,4
120,15,0.125,0,4,2,0,4
124,14,0.112903226,0,4,2,0,4
118,16,0.13559322,0,4,2,0,4
120,13,0.108333333,0,4,2,0,4
120,17,0.141666667,0,4,2,0,4
129,26,0.201550388,0,4,2,0,4
121,12,0.099173554,0,4,2,0,4
122,24,0.196721311,0,4,2,0,4
124,14,0.112903226,0,4,2,0,4
122,25,0.204918033,0,4,2,0,4
125,15,0.12,0,4,2,0,4
123,25,0.203252033,0,4,2,0,4
120,16,0.133333333,0,4,2,0,4
127,19,0.149606299,0,4,2,0,4
118,15,0.127118644,0,4,2,0,4
120,17,0.141666667,0,4,2,0,4
124,5,0.040322581,0,4,2,0,4
124,12,0.096774194,0,4,2,0,4
126,14,0.111111111,0,4,2,0,4
128,15,0.1171875,0,4,2,0,4
124,6,0.048387097,0,4,2,0,4
125,16,0.128,0,4,2,0,4
128,13,0.1015625,0,4,2,0,4
130,14,0.107692308,0,4,2,0,4
121,18,0.148760331,0,4,2,0,4
120,29,0.241666667,0,4,2,0,4
125,9,0.072,0,4,2,0,4
127,22,0.173228346,0,4,2,0,4
