Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
122,33,0.270491803,1,1,2,0,6
121,33,0.272727273,1,1,2,0,6
119,2,0.016806723,1,1,2,0,6
128,40,0.3125,1,1,2,0,6
125,50,0.4,1,1,2,0,6
120,34,0.283333333,1,1,2,0,6
125,36,0.288,1,1,2,0,6
121,43,0.355371901,1,1,2,0,6
124,41,0.330645161,1,1,2,0,6
124,45,0.362903226,1,1,2,0,6
119,58,0.487394958,1,1,2,0,6
123,48,0.390243902,1,1,2,0,6
118,30,0.254237288,1,1,2,0,6
125,24,0.192,1,1,2,0,6
125,12,0.096,1,1,2,0,6
123,35,0.284552846,1,1,2,0,6
121,42,0.347107438,1,1,2,0,6
122,44,0.360655738,1,1,2,0,6
126,38,0.301587302,1,1,2,0,6
118,33,0.279661017,1,1,2,0,6
120,37,0.308333333,1,1,2,0,6
118,59,0.5,1,1,2,0,6
126,34,0.26984127,1,1,2,0,6
120,37,0.308333333,1,1,2,0,6
127,40,0.31496063,1,1,2,0,6
121,44,0.363636364,1,1,2,0,6
124,17,0.137096774,1,1,2,0,6
126,62,0.492063492,1,1,2,0,6
124,37,0.298387097,1,1,2,0,6
121,36,0.297520661,1,1,2,0,6
128,20,0.15625,1,1,2,0,6
125,9,0.072,1,1,2,0,6
122,47,0.385245902,1,1,2,0,6
126,8,0.063492063,1,1,2,0,6
121,20,0.165289256,1,1,2,0,6
122,36,0.295081967,1,1,2,0,6
125,39,0.312,1,1,2,0,6
123,26,0.211382114,1,1,2,0,6
121,34,0.280991736,1,1,2,0,6
119,24,0.201680672,1,1,2,0,6
121,29,0.239669421,1,1,2,0,6
122,23,0.18852459,1,1,2,0,6
127,38,0.299212598,1,1,2,0,6
121,23,0.190082645,1,1,2,0,6
128,49,0.3828125,1,1,2,0,6
119,40,0.336134454,1,1,2,0,6
123,50,0.406504065,1,1,2,0,6
123,35,0.284552846,1,1,2,0,6
122,29,0.237704918,1,1,2,0,6
122,49,0.401639344,1,1,2,0,6
123,56,0.455284553,1,1,2,0,6
123,32,0.260162602,1,1,2,0,6
120,26,0.216666667,1,1,2,0,6
125,49,0.392,1,1,2,0,6
129,11,0.085271318,1,1,2,0,6
127,34,0.267716535,1,1,2,0,6
124,59,0.475806452,1,1,2,0,6
129,35,0.271317829,1,1,2,0,6
121,7,0.05785124,1,1,2,0,6
