Total_Students,Casualties,Casualty_Rate,Straight ,NumberOfExits,WidthOfExits,Obstacles,WidthOfHallway
121,29,0.239669421,1,3,2,1,2
121,29,0.239669421,1,3,2,1,2
123,21,0.170731707,1,3,2,1,2
125,32,0.256,1,3,2,1,2
124,17,0.137096774,1,3,2,1,2
121,23,0.190082645,1,3,2,1,2
129,37,0.286821705,1,3,2,1,2
129,28,0.217054264,1,3,2,1,2
123,2,0.016260163,1,3,2,1,2
129,54,0.418604651,1,3,2,1,2
126,19,0.150793651,1,3,2,1,2
126,24,0.19047619,1,3,2,1,2
128,24,0.1875,1,3,2,1,2
125,31,0.248,1,3,2,1,2
122,40,0.327868852,1,3,2,1,2
124,14,0.112903226,1,3,2,1,2
124,32,0.258064516,1,3,2,1,2
128,38,0.296875,1,3,2,1,2
128,17,0.1328125,1,3,2,1,2
122,34,0.278688525,1,3,2,1,2
125,27,0.216,1,3,2,1,2
120,37,0.308333333,1,3,2,1,2
120,12,0.1,1,3,2,1,2
120,28,0.233333333,1,3,2,1,2
119,19,0.159663866,1,3,2,1,2
123,24,0.195121951,1,3,2,1,2
125,47,0.376,1,3,2,1,2
122,19,0.155737705,1,3,2,1,2
125,17,0.136,1,3,2,1,2
119,26,0.218487395,1,3,2,1,2
127,13,0.102362205,1,3,2,1,2
120,27,0.225,1,3,2,1,2
120,24,0.2,1,3,2,1,2
125,14,0.112,1,3,2,1,2
127,31,0.244094488,1,3,2,1,2
125,49,0.392,1,3,2,1,2
122,38,0.31147541,1,3,2,1,2
124,26,0.209677419,1,3,2,1,2
119,18,0.151260504,1,3,2,1,2
128,36,0.28125,1,3,2,1,2
123,11,0.089430894,1,3,2,1,2
121,32,0.26446281,1,3,2,1,2
136,18,0.132352941,1,3,2,1,2
127,23,0.181102362,1,3,2,1,2
126,21,0.166666667,1,3,2,1,2
124,24,0.193548387,1,3,2,1,2
122,25,0.204918033,1,3,2,1,2
119,0,0,1,3,2,1,2
124,31,0.25,1,3,2,1,2
121,40,0.330578512,1,3,2,1,2
131,25,0.190839695,1,3,2,1,2
126,22,0.174603175,1,3,2,1,2
123,22,0.178861789,1,3,2,1,2
127,35,0.275590551,1,3,2,1,2
128,15,0.1171875,1,3,2,1,2
121,32,0.26446281,1,3,2,1,2
127,44,0.346456693,1,3,2,1,2
122,26,0.213114754,1,3,2,1,2
122,16,0.131147541,1,3,2,1,2
120,44,0.366666667,1,3,2,1,2
124,18,0.14516129,1,3,2,1,2
118,18,0.152542373,1,3,2,1,2
119,25,0.210084034,1,3,2,1,2
128,2,0.015625,1,3,2,1,2
124,26,0.209677419,1,3,2,1,2
126,9,0.071428571,1,3,2,1,2
127,26,0.204724409,1,3,2,1,2
127,23,0.181102362,1,3,2,1,2
123,16,0.130081301,1,3,2,1,2
129,32,0.248062016,1,3,2,1,2
129,28,0.217054264,1,3,2,1,2
127,16,0.125984252,1,3,2,1,2
125,22,0.176,1,3,2,1,2
121,11,0.090909091,1,3,2,1,2
129,22,0.170542636,1,3,2,1,2
124,15,0.120967742,1,3,2,1,2
128,20,0.15625,1,3,2,1,2
124,35,0.282258065,1,3,2,1,2
125,27,0.216,1,3,2,1,2
119,15,0.12605042,1,3,2,1,2
126,33,0.261904762,1,3,2,1,2
124,18,0.14516129,1,3,2,1,2
123,4,0.032520325,1,3,2,1,2
118,9,0.076271186,1,3,2,1,2
125,23,0.184,1,3,2,1,2
125,14,0.112,1,3,2,1,2
123,27,0.219512195,1,3,2,1,2
126,22,0.174603175,1,3,2,1,2
122,21,0.172131148,1,3,2,1,2
121,35,0.289256198,1,3,2,1,2
122,22,0.180327869,1,3,2,1,2
126,17,0.134920635,1,3,2,1,2
122,16,0.131147541,1,3,2,1,2
128,21,0.1640625,1,3,2,1,2
128,24,0.1875,1,3,2,1,2
125,17,0.136,1,3,2,1,2
124,3,0.024193548,1,3,2,1,2
122,24,0.196721311,1,3,2,1,2
123,37,0.300813008,1,3,2,1,2
124,16,0.129032258,1,3,2,1,2
126,34,0.26984127,1,3,2,1,2
126,52,0.412698413,1,3,2,1,2
128,21,0.1640625,1,3,2,1,2
127,25,0.196850394,1,3,2,1,2
119,13,0.109243697,1,3,2,1,2
122,29,0.237704918,1,3,2,1,2
123,11,0.089430894,1,3,2,1,2
117,15,0.128205128,1,3,2,1,2
123,24,0.195121951,1,3,2,1,2
128,29,0.2265625,1,3,2,1,2
123,13,0.105691057,1,3,2,1,2
124,27,0.217741935,1,3,2,1,2
127,5,0.039370079,1,3,2,1,2
125,30,0.24,1,3,2,1,2
125,38,0.304,1,3,2,1,2
123,31,0.25203252,1,3,2,1,2
122,14,0.114754098,1,3,2,1,2
129,33,0.255813953,1,3,2,1,2
121,2,0.016528926,1,3,2,1,2
